# Standoff 2 0.37.3 methodId table (service|method = hi lo explicit enc)
# count=304
AccountLinkRemoteService|getLinkedAuth = hi=260 lo=1 explicit=260 enc=0
ChatRemoteService|getChatUsersByPage2 = hi=994768155 lo=1 explicit=0 enc=0
ChatRemoteService|getChatUsersLite = hi=190 lo=1 explicit=190 enc=0
ChatRemoteService|getFriendMsgsByOffset2 = hi=191 lo=1 explicit=191 enc=0
ChatRemoteService|getFriendMsgsByPage2 = hi=1655408047 lo=1 explicit=0 enc=0
ChatRemoteService|getGroupMsgs2 = hi=1869941248 lo=1 explicit=0 enc=0
ChatRemoteService|getUnreadChatUsersCount2 = hi=681000247 lo=1 explicit=0 enc=0
ChatRemoteService|readFriendMsgs2 = hi=193 lo=1 explicit=193 enc=0
ChatRemoteService|readGroupMsgs2 = hi=975242304 lo=1 explicit=0 enc=0
ChatRemoteService|sendFriendMsg2 = hi=192 lo=1 explicit=192 enc=0
ChatRemoteService|sendGroupMsg2 = hi=1773325617 lo=1 explicit=0 enc=0
ClanMessagesRemoteService|getClanChatMessages2 = hi=203 lo=1 explicit=203 enc=0
ClanMessagesRemoteService|getClanLogMessages2 = hi=207 lo=1 explicit=207 enc=0
ClanMessagesRemoteService|getClanMessages2 = hi=1432610765 lo=1 explicit=0 enc=0
ClanMessagesRemoteService|getUnreadChatMessagesCount2 = hi=202 lo=1 explicit=202 enc=0
ClanMessagesRemoteService|getUnreadLogMessagesCount2 = hi=201 lo=1 explicit=201 enc=0
ClanMessagesRemoteService|readClanChatMessages2 = hi=204 lo=1 explicit=204 enc=0
ClanMessagesRemoteService|readClanLogMessages2 = hi=206 lo=1 explicit=206 enc=0
ClanMessagesRemoteService|sendClanChatMessage2 = hi=205 lo=1 explicit=205 enc=0
ClanRemoteService|assignLeaderRole2 = hi=135 lo=1 explicit=135 enc=0
ClanRemoteService|assignRoleToMember2 = hi=134 lo=1 explicit=134 enc=0
ClanRemoteService|cancelInviteRequest2 = hi=133 lo=1 explicit=133 enc=0
ClanRemoteService|cancelJoinRequest2 = hi=121 lo=1 explicit=121 enc=0
ClanRemoteService|changeClanType2 = hi=132 lo=1 explicit=132 enc=0
ClanRemoteService|createClan2 = hi=131 lo=1 explicit=131 enc=0
ClanRemoteService|declineInviteRequest2 = hi=130 lo=1 explicit=130 enc=0
ClanRemoteService|declineJoinRequest2 = hi=120 lo=1 explicit=120 enc=0
ClanRemoteService|deleteClosedInviteRequest2 = hi=123 lo=1 explicit=123 enc=0
ClanRemoteService|deleteClosedJoinRequest2 = hi=117 lo=1 explicit=117 enc=0
ClanRemoteService|findClan2 = hi=115 lo=1 explicit=115 enc=0
ClanRemoteService|getClan2 = hi=101 lo=1 explicit=101 enc=0
ClanRemoteService|getClanById2 = hi=113 lo=1 explicit=113 enc=0
ClanRemoteService|getClanByTag = hi=129 lo=1 explicit=129 enc=0
ClanRemoteService|getClanClosedInviteRequestsCount2 = hi=107 lo=1 explicit=107 enc=0
ClanRemoteService|getClanInviteRequests2 = hi=119 lo=1 explicit=119 enc=0
ClanRemoteService|getClanJoinRequests2 = hi=116 lo=1 explicit=116 enc=0
ClanRemoteService|getClanJoinRequestsCount2 = hi=106 lo=1 explicit=106 enc=0
ClanRemoteService|getClanMembers2 = hi=108 lo=1 explicit=108 enc=0
ClanRemoteService|getClanMembersById2 = hi=110 lo=1 explicit=110 enc=0
ClanRemoteService|getClanSettings2 = hi=103 lo=1 explicit=103 enc=0
ClanRemoteService|getPlayerClosedJoinRequestsCount2 = hi=105 lo=1 explicit=105 enc=0
ClanRemoteService|getPlayerInviteRequests2 = hi=112 lo=1 explicit=112 enc=0
ClanRemoteService|getPlayerInviteRequestsCount2 = hi=104 lo=1 explicit=104 enc=0
ClanRemoteService|getPlayerJoinRequests2 = hi=114 lo=1 explicit=114 enc=0
ClanRemoteService|getRecommendedClans2 = hi=109 lo=1 explicit=109 enc=0
ClanRemoteService|getRoles2 = hi=102 lo=1 explicit=102 enc=0
ClanRemoteService|increaseMaxMembersCount2 = hi=542252353 lo=1 explicit=0 enc=0
ClanRemoteService|inviteToClan2 = hi=122 lo=1 explicit=122 enc=0
ClanRemoteService|kickMember2 = hi=126 lo=1 explicit=126 enc=0
ClanRemoteService|leaveClan2 = hi=125 lo=1 explicit=125 enc=0
ClanRemoteService|renameClan2 = hi=1410497125 lo=1 explicit=0 enc=0
ClanRemoteService|requestToJoinClan2 = hi=111 lo=1 explicit=111 enc=0
ClanRemoteService|setClanAvatar2 = hi=128 lo=1 explicit=128 enc=0
ClanRemoteService|setClanDescription2 = hi=127 lo=1 explicit=127 enc=0
ClanRemoteService|validateClanName2 = hi=124 lo=1 explicit=124 enc=0
ClanRemoteService|validateClanTag2 = hi=118 lo=1 explicit=118 enc=0
ClanStatsRemoteService|getClanStats = hi=241 lo=1 explicit=241 enc=0
ClanStatsRemoteService|getCurrentClanStats = hi=240 lo=1 explicit=240 enc=0
ContentCreatorRemoteService|findCreator = hi=292 lo=1 explicit=292 enc=0
ContentCreatorRemoteService|findCreatorSubscription = hi=290 lo=1 explicit=290 enc=0
ContentCreatorRemoteService|subscribeCreator = hi=291 lo=1 explicit=291 enc=0
ContentCreatorRemoteService|unsubscribeCreator = hi=293 lo=1 explicit=293 enc=0
DlcRemoteService|getAllDlc = hi=225 lo=1 explicit=225 enc=0
DlcRemoteService|getAllReleasedDlc = hi=226 lo=1 explicit=226 enc=0
FacebookAuthRemoteService|encryptedAuth = hi=1877573931 lo=1 explicit=0 enc=1
FacebookAuthRemoteService|encryptedAuth2 = hi=375 lo=1 explicit=375 enc=1
FacebookAuthRemoteService|linkAuth = hi=376 lo=1 explicit=376 enc=1
FacebookAuthRemoteService|unLinkAuth = hi=377 lo=1 explicit=377 enc=0
FriendsRemoteService|acceptFriendRequest2 = hi=156 lo=1 explicit=156 enc=0
FriendsRemoteService|blockFriend2 = hi=159 lo=1 explicit=159 enc=0
FriendsRemoteService|getOnlineStatus2 = hi=255843357 lo=1 explicit=0 enc=0
FriendsRemoteService|getPlayerById2 = hi=1815200303 lo=1 explicit=0 enc=0
FriendsRemoteService|getPlayerFriendById2 = hi=151 lo=1 explicit=151 enc=0
FriendsRemoteService|getPlayerFriendByUid2 = hi=161 lo=1 explicit=161 enc=0
FriendsRemoteService|getPlayerFriends2 = hi=150 lo=1 explicit=150 enc=0
FriendsRemoteService|getPlayerFriendsCount2 = hi=114224519 lo=1 explicit=0 enc=0
FriendsRemoteService|getPlayerFriendsIds2 = hi=152 lo=1 explicit=152 enc=0
FriendsRemoteService|getPlayersCount2 = hi=656011461 lo=1 explicit=0 enc=0
FriendsRemoteService|ignoreAllFriendRequests = hi=162 lo=1 explicit=162 enc=0
FriendsRemoteService|ignoreFriendRequest2 = hi=158 lo=1 explicit=158 enc=0
FriendsRemoteService|removeFriend2 = hi=157 lo=1 explicit=157 enc=0
FriendsRemoteService|revokeAllFriendRequests = hi=163 lo=1 explicit=163 enc=0
FriendsRemoteService|revokeFriendRequest2 = hi=155 lo=1 explicit=155 enc=0
FriendsRemoteService|searchPlayers2 = hi=154 lo=1 explicit=154 enc=0
FriendsRemoteService|sendFriendRequest2 = hi=153 lo=1 explicit=153 enc=0
FriendsRemoteService|unblockFriend2 = hi=160 lo=1 explicit=160 enc=0
GameAnnouncementRemoteService|getAllAnnouncements = hi=280 lo=1 explicit=280 enc=0
GameCenterAuthRemoteService|encryptedAuth = hi=1792851724 lo=1 explicit=0 enc=1
GameCenterAuthRemoteService|encryptedAuth2 = hi=355 lo=1 explicit=355 enc=1
GameCenterAuthRemoteService|linkAuth = hi=356 lo=1 explicit=356 enc=1
GameCenterAuthRemoteService|unLinkAuth = hi=357 lo=1 explicit=357 enc=0
GameEventRemoteService|claimAllRewardsOfSpecificPasses = hi=1836160480 lo=1 explicit=0 enc=0
GameEventRemoteService|claimSpecificLevelReward = hi=1338537854 lo=1 explicit=0 enc=0
GameEventRemoteService|getAllChallenges = hi=1602803540 lo=1 explicit=0 enc=0
GameEventRemoteService|getCachedPlayerGameEvents = hi=216 lo=1 explicit=216 enc=0
GameEventRemoteService|getCurrentChallenges = hi=1204221996 lo=1 explicit=0 enc=0
GameEventRemoteService|getPlayerCurrentGameEvents2 = hi=622291710 lo=1 explicit=0 enc=0
GameEventRemoteService|getPlayerGameEventProgress = hi=218 lo=1 explicit=218 enc=0
GameEventRemoteService|getPlayerGameEventsProgresses = hi=215 lo=1 explicit=215 enc=0
GameEventRemoteService|processChallenge = hi=217 lo=1 explicit=217 enc=0
GameEventRemoteService|progressGameEvent = hi=1091495988 lo=1 explicit=0 enc=0
GameEventRemoteService|saveChallengeDefinition3 = hi=1388966931 lo=1 explicit=0 enc=0
GameSettingsRemoteService|getGameSettingsEncrypted2 = hi=285 lo=1 explicit=285 enc=1
GdprRemoteService|createRequestEncrypted = hi=407 lo=1 explicit=407 enc=1
GdprRemoteService|deleteAccount = hi=406 lo=1 explicit=406 enc=0
GdprRemoteService|getRequestsEncrypted = hi=1167286682 lo=1 explicit=0 enc=1
GdprRemoteService|recoverAccount = hi=405 lo=1 explicit=405 enc=0
GetAppsInAppRemoteService|buyInApp = hi=403 lo=1 explicit=403 enc=0
GlobalChatRemoteService|sendGlobalChatMessage2 = hi=1989648986 lo=1 explicit=0 enc=0
GoogleAuthRemoteService|encryptedAuth = hi=353564126 lo=1 explicit=0 enc=1
GoogleAuthRemoteService|encryptedAuth2 = hi=315 lo=1 explicit=315 enc=1
GoogleAuthRemoteService|linkAuth = hi=316 lo=1 explicit=316 enc=1
GoogleAuthRemoteService|unLinkAuth = hi=317 lo=1 explicit=317 enc=0
GoogleInAppRemoteService|buyInApp2 = hi=390 lo=1 explicit=390 enc=0
GuestAuthRemoteService|encryptedAuth = hi=155021181 lo=1 explicit=0 enc=1
GuestAuthRemoteService|encryptedAuth2 = hi=1731497495 lo=1 explicit=0 enc=1
HandshakeRemoteService|encryptedHandshake = hi=3 lo=1 explicit=3 enc=1
HandshakeRemoteService|handshake = hi=425305599 lo=1 explicit=0 enc=0
HandshakeRemoteService|logout = hi=1404780434 lo=1 explicit=0 enc=0
HandshakeRemoteService|logout2 = hi=697157104 lo=1 explicit=0 enc=0
HelloRemoteService|hello = hi=1 lo=1 explicit=1 enc=1
HelloRemoteService|helloV2 = hi=2 lo=1 explicit=2 enc=0
HuaweiAuthRemoteService|encryptedAuth = hi=498723340 lo=1 explicit=0 enc=1
HuaweiAuthRemoteService|encryptedAuth2 = hi=365 lo=1 explicit=365 enc=1
HuaweiAuthRemoteService|linkAuth = hi=366 lo=1 explicit=366 enc=1
HuaweiAuthRemoteService|unLinkAuth = hi=367 lo=1 explicit=367 enc=0
IdTokenRemoteService|getIdToken = hi=385 lo=1 explicit=385 enc=0
InventoryRemoteService|activateCouponEncrypted = hi=60 lo=1 explicit=60 enc=1
InventoryRemoteService|buyInventoryItemEncrypted = hi=57 lo=1 explicit=57 enc=1
InventoryRemoteService|consumeInventoryItemEncrypted = hi=31327678 lo=1 explicit=0 enc=1
InventoryRemoteService|executeRecipeEncrypted2 = hi=56 lo=1 explicit=56 enc=1
InventoryRemoteService|getInventoryItemDefinitionsEncrypted = hi=54 lo=1 explicit=54 enc=1
InventoryRemoteService|getInventoryItemPropertyDefinitionsEncrypted = hi=55 lo=1 explicit=55 enc=1
InventoryRemoteService|getOtherPlayerPublicItemsEncrypted = hi=61 lo=1 explicit=61 enc=1
InventoryRemoteService|getPlayerInventoryEncrypted = hi=53 lo=1 explicit=53 enc=1
InventoryRemoteService|getRecipeInfo = hi=62 lo=1 explicit=62 enc=1
InventoryRemoteService|getRecipeState = hi=483131674 lo=1 explicit=0 enc=1
InventoryRemoteService|getRecipeStatusEncrypted = hi=1084093307 lo=1 explicit=0 enc=1
InventoryRemoteService|mountInventoryItemEncrypted = hi=58 lo=1 explicit=58 enc=1
InventoryRemoteService|removeInventoryItemPropertyEncrypted = hi=78629105 lo=1 explicit=0 enc=1
InventoryRemoteService|sellInventoryItemEncrypted = hi=1154880660 lo=1 explicit=0 enc=1
InventoryRemoteService|setInventoryItemFlagsEncrypted = hi=52 lo=1 explicit=52 enc=1
InventoryRemoteService|setInventoryItemPublicity = hi=63 lo=1 explicit=63 enc=1
InventoryRemoteService|setInventoryItemsPropertiesEncrypted = hi=51 lo=1 explicit=51 enc=1
InventoryRemoteService|tradeInventoryItemsEncrypted = hi=812058377 lo=1 explicit=0 enc=1
InventoryRemoteService|transferInventoryItemsEncrypted = hi=200923298 lo=1 explicit=0 enc=1
InventoryRemoteService|unmountInventoryItemEncrypted = hi=59 lo=1 explicit=59 enc=1
MarketplaceRemoteService|cancelRequest2 = hi=13 lo=1 explicit=13 enc=0
MarketplaceRemoteService|createMultipleSales = hi=17 lo=1 explicit=17 enc=0
MarketplaceRemoteService|createPurchaseRequest2 = hi=11 lo=1 explicit=11 enc=0
MarketplaceRemoteService|createPurchaseRequestBySale2 = hi=12 lo=1 explicit=12 enc=0
MarketplaceRemoteService|createSale = hi=9 lo=1 explicit=9 enc=0
MarketplaceRemoteService|getFilteredTradeOpenSaleRequests = hi=15 lo=1 explicit=15 enc=0
MarketplaceRemoteService|getMarketplaceSettings2 = hi=6 lo=1 explicit=6 enc=0
MarketplaceRemoteService|getPlayerClosedRequests2 = hi=10 lo=1 explicit=10 enc=0
MarketplaceRemoteService|getPlayerClosedRequestsCount2 = hi=942520390 lo=1 explicit=0 enc=0
MarketplaceRemoteService|getPlayerOpenRequests2 = hi=7 lo=1 explicit=7 enc=0
MarketplaceRemoteService|getPlayerProcessingRequests2 = hi=5 lo=1 explicit=5 enc=0
MarketplaceRemoteService|getTrade2 = hi=8 lo=1 explicit=8 enc=0
MarketplaceRemoteService|getTradeOpenPurchaseRequests2 = hi=925501969 lo=1 explicit=0 enc=0
MarketplaceRemoteService|getTradeOpenSaleRequests2 = hi=14 lo=1 explicit=14 enc=0
MarketplaceRemoteService|getTrades2 = hi=16 lo=1 explicit=16 enc=0
MatchesRemoteService|getClanMatches = hi=389771019 lo=1 explicit=0 enc=0
MatchesRemoteService|getCurrentPlayerLastMatch = hi=1678720367 lo=1 explicit=0 enc=0
MatchesRemoteService|getMatch = hi=683497043 lo=1 explicit=0 enc=0
MatchesRemoteService|getPlayerMatches = hi=1100040608 lo=1 explicit=0 enc=0
MatchmakingRemoteService|cancel = hi=7 lo=1 explicit=7 enc=0
MatchmakingRemoteService|changeLobbyOtherPlayerType2 = hi=87 lo=1 explicit=87 enc=0
MatchmakingRemoteService|changeLobbyPlayerType2 = hi=989578098 lo=1 explicit=0 enc=0
MatchmakingRemoteService|confirm = hi=6 lo=1 explicit=6 enc=0
MatchmakingRemoteService|createLobbyWithSpectators2 = hi=77 lo=1 explicit=77 enc=0
MatchmakingRemoteService|deleteLobbyData2 = hi=86107934 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getGameServerDetails2 = hi=1982779548 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getGameServerPlayers2 = hi=669839148 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getInvitesToLobby2 = hi=72 lo=1 explicit=72 enc=0
MatchmakingRemoteService|getLobby2 = hi=82 lo=1 explicit=82 enc=0
MatchmakingRemoteService|getLobbyGameServer2 = hi=833081918 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getLobbyMembers2 = hi=1480085498 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getLobbyOwner2 = hi=1532291488 lo=1 explicit=0 enc=0
MatchmakingRemoteService|getLobbyPhotonGame2 = hi=814835877 lo=1 explicit=0 enc=0
MatchmakingRemoteService|invitePlayerToLobby2 = hi=1605420642 lo=1 explicit=0 enc=0
MatchmakingRemoteService|invitePlayerToLobbyAs2 = hi=73 lo=1 explicit=73 enc=0
MatchmakingRemoteService|joinLobby2 = hi=2126286951 lo=1 explicit=0 enc=0
MatchmakingRemoteService|joinLobbyAs2 = hi=76 lo=1 explicit=76 enc=0
MatchmakingRemoteService|kickPlayerFromLobby2 = hi=84 lo=1 explicit=84 enc=0
MatchmakingRemoteService|leaveLobby2 = hi=75 lo=1 explicit=75 enc=0
MatchmakingRemoteService|refuseInvitationToLobby2 = hi=85 lo=1 explicit=85 enc=0
MatchmakingRemoteService|requestInternetServerList2 = hi=75585602 lo=1 explicit=0 enc=0
MatchmakingRemoteService|requestLobbyList2 = hi=731309198 lo=1 explicit=0 enc=0
MatchmakingRemoteService|revokePlayerInvitationToLobby2 = hi=86 lo=1 explicit=86 enc=0
MatchmakingRemoteService|searchLobby = hi=79 lo=1 explicit=79 enc=0
MatchmakingRemoteService|sendLobbyChatMsg2 = hi=74 lo=1 explicit=74 enc=0
MatchmakingRemoteService|setLobbyData2 = hi=70 lo=1 explicit=70 enc=0
MatchmakingRemoteService|setLobbyGameServer2 = hi=1436837706 lo=1 explicit=0 enc=0
MatchmakingRemoteService|setLobbyJoinable2 = hi=71 lo=1 explicit=71 enc=0
MatchmakingRemoteService|setLobbyMaxMembers2 = hi=78 lo=1 explicit=78 enc=0
MatchmakingRemoteService|setLobbyMaxSpectators2 = hi=83 lo=1 explicit=83 enc=0
MatchmakingRemoteService|setLobbyName2 = hi=2092578388 lo=1 explicit=0 enc=0
MatchmakingRemoteService|setLobbyOwner2 = hi=88 lo=1 explicit=88 enc=0
MatchmakingRemoteService|setLobbyPhotonGame2 = hi=80 lo=1 explicit=80 enc=0
MatchmakingRemoteService|setLobbyType2 = hi=81 lo=1 explicit=81 enc=0
MatchmakingRemoteService|start = hi=5 lo=1 explicit=5 enc=0
NewsFeedRemoteService|getItems2 = hi=295 lo=1 explicit=295 enc=0
NewsFeedRemoteService|sendNews2 = hi=2139608313 lo=1 explicit=0 enc=0
OctInAppRemoteService|createPreOrder = hi=404 lo=1 explicit=404 enc=0
OffersRemoteService|getSpecialOffers = hi=300 lo=1 explicit=300 enc=0
PlayerRemoteService|banMe2 = hi=1072383677 lo=1 explicit=0 enc=0
PlayerRemoteService|deleteAccountByPermission = hi=1021773914 lo=1 explicit=0 enc=0
PlayerRemoteService|getOnlineStatus2 = hi=799595689 lo=1 explicit=0 enc=0
PlayerRemoteService|getPlayer2 = hi=23 lo=1 explicit=23 enc=0
PlayerRemoteService|getPlayerById3 = hi=211468988 lo=1 explicit=0 enc=0
PlayerRemoteService|getPlayerByUid = hi=211480724 lo=1 explicit=0 enc=0
PlayerRemoteService|getPlayerSettings2 = hi=22 lo=1 explicit=22 enc=0
PlayerRemoteService|setAndGetPlayerName2 = hi=386584727 lo=1 explicit=0 enc=0
PlayerRemoteService|setAwayStatus2 = hi=20 lo=1 explicit=20 enc=0
PlayerRemoteService|setDefaultAvatar = hi=28 lo=1 explicit=28 enc=0
PlayerRemoteService|setOnlineStatus2 = hi=21 lo=1 explicit=21 enc=0
PlayerRemoteService|setPlayerAvatar2 = hi=25 lo=1 explicit=25 enc=0
PlayerRemoteService|setPlayerFirebaseToken2 = hi=24 lo=1 explicit=24 enc=0
PlayerRemoteService|setPlayerName2 = hi=26 lo=1 explicit=26 enc=0
PlayerRemoteService|setPlayerSettings2 = hi=27 lo=1 explicit=27 enc=0
PlayerStatsRemoteService|getCurrentStats = hi=181 lo=1 explicit=181 enc=0
PlayerStatsRemoteService|getGlobalStats2 = hi=1560336251 lo=1 explicit=0 enc=0
PlayerStatsRemoteService|getPlayerStats2 = hi=182 lo=1 explicit=182 enc=0
PlayerStatsRemoteService|getStats = hi=412186360 lo=1 explicit=0 enc=0
PlayerStatsRemoteService|resetStats2 = hi=1968467377 lo=1 explicit=0 enc=0
PlayerStatsRemoteService|storeStats2 = hi=180 lo=1 explicit=180 enc=0
RateGameRemoteService|askLater = hi=251 lo=1 explicit=251 enc=0
RateGameRemoteService|dontAskLater = hi=253 lo=1 explicit=253 enc=0
RateGameRemoteService|getLastRateGame = hi=250 lo=1 explicit=250 enc=0
RateGameRemoteService|rateGame = hi=252 lo=1 explicit=252 enc=0
ReferralRemoteService|findPlayerState = hi=461 lo=1 explicit=461 enc=0
ReferralRemoteService|getPlayerState = hi=460 lo=1 explicit=460 enc=0
ReferralRemoteService|getRecruitById = hi=464 lo=1 explicit=464 enc=0
ReferralRemoteService|getRecruits = hi=463 lo=1 explicit=463 enc=0
ReferralRemoteService|getSettings = hi=465 lo=1 explicit=465 enc=0
ReferralRemoteService|subscribeToCommander = hi=462 lo=1 explicit=462 enc=0
RentMarketRemoteService|cancelRentRequest = hi=442 lo=1 explicit=442 enc=0
RentMarketRemoteService|createRentPurchaseRequest = hi=436 lo=1 explicit=436 enc=0
RentMarketRemoteService|createRentPurchaseRequestBySale = hi=435 lo=1 explicit=435 enc=0
RentMarketRemoteService|createRentSale = hi=434 lo=1 explicit=434 enc=0
RentMarketRemoteService|getFilteredRentTradeOpenSaleRequests = hi=438 lo=1 explicit=438 enc=0
RentMarketRemoteService|getPlayerRentClosedRequests = hi=432 lo=1 explicit=432 enc=0
RentMarketRemoteService|getPlayerRentClosedRequestsCount = hi=433 lo=1 explicit=433 enc=0
RentMarketRemoteService|getPlayerRentOpenRequests = hi=431 lo=1 explicit=431 enc=0
RentMarketRemoteService|getPlayerRentProcessingRequests = hi=430 lo=1 explicit=430 enc=0
RentMarketRemoteService|getRentMarketSettings = hi=443 lo=1 explicit=443 enc=0
RentMarketRemoteService|getRentTrade = hi=441 lo=1 explicit=441 enc=0
RentMarketRemoteService|getRentTradeOpenPurchaseRequests = hi=439 lo=1 explicit=439 enc=0
RentMarketRemoteService|getRentTradeOpenSaleRequests = hi=437 lo=1 explicit=437 enc=0
RentMarketRemoteService|getRentTrades = hi=440 lo=1 explicit=440 enc=0
SeasonalStatsRemoteService|getClanStatsForSeason = hi=328 lo=1 explicit=328 enc=0
SeasonalStatsRemoteService|getCurrentClanStatsForSeason = hi=327 lo=1 explicit=327 enc=0
SeasonalStatsRemoteService|getPlayerStatsForSeason = hi=325 lo=1 explicit=325 enc=0
SeasonalStatsRemoteService|getStatsForSeason = hi=326 lo=1 explicit=326 enc=0
StorageRemoteService|changeFileAccessMode = hi=173 lo=1 explicit=173 enc=0
StorageRemoteService|deleteFile2 = hi=285133015 lo=1 explicit=0 enc=0
StorageRemoteService|getFilenames = hi=117772834 lo=1 explicit=0 enc=0
StorageRemoteService|getSharedFile = hi=1495385347 lo=1 explicit=0 enc=0
StorageRemoteService|readAllFiles2 = hi=855006770 lo=1 explicit=0 enc=0
StorageRemoteService|readFile2 = hi=293515212 lo=1 explicit=0 enc=0
StorageRemoteService|readFile3 = hi=293515213 lo=1 explicit=0 enc=0
StorageRemoteService|readFiles = hi=172 lo=1 explicit=172 enc=0
StorageRemoteService|readPlayerPublicFiles = hi=175 lo=1 explicit=175 enc=0
StorageRemoteService|readPublicFile = hi=174 lo=1 explicit=174 enc=0
StorageRemoteService|shareFile = hi=1995400071 lo=1 explicit=0 enc=0
StorageRemoteService|unshareFile = hi=2063839502 lo=1 explicit=0 enc=0
StorageRemoteService|writeFile = hi=23620487 lo=1 explicit=0 enc=0
StorageRemoteService|writeFile2 = hi=171 lo=1 explicit=171 enc=0
SystemMessagesRemoteService|countUnreadSystemMessages = hi=306 lo=1 explicit=306 enc=0
SystemMessagesRemoteService|deleteSystemMessages = hi=309 lo=1 explicit=309 enc=0
SystemMessagesRemoteService|getSystemMessageDetails = hi=307 lo=1 explicit=307 enc=0
SystemMessagesRemoteService|getSystemMessages = hi=305 lo=1 explicit=305 enc=0
SystemMessagesRemoteService|readSystemMessages = hi=308 lo=1 explicit=308 enc=0
TestAuthRemoteService|encryptedAuth = hi=507437047 lo=1 explicit=0 enc=1
TestAuthRemoteService|encryptedAuth2 = hi=410 lo=1 explicit=410 enc=1
TwitchAuthRemoteService|linkAuth = hi=420 lo=1 explicit=420 enc=1
TwitchAuthRemoteService|unLinkAuth = hi=421 lo=1 explicit=421 enc=0
VkAuthRemoteService|encryptedAuth = hi=162664282 lo=1 explicit=0 enc=1
VkAuthRemoteService|encryptedAuth2 = hi=335 lo=1 explicit=335 enc=1
VkAuthRemoteService|linkAuth = hi=336 lo=1 explicit=336 enc=1
VkAuthRemoteService|unLinkAuth = hi=337 lo=1 explicit=337 enc=0
